WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE	
tamp			
tamper			
tan			
tangle			
tantalize			
tap			
tape			
taper			
tar			
target			
tarnish			
tarry			
taste			
tattle			
tattoo			
taunt			
tax			
taxi			
teach	taught	taught	
team			
tear	tore	torn	
tease			
tee			teeing
teem			
teeter			
teethe			
telecast	telecast	telecast	
teleconference			
telegraph			
telephone			
telescope			
televise			
tell	told	told	
temper			
temporize			
tempt			
tenant			
tend			
tender			
tense			
term			
terminate			
terrify			
terrorize			
test			
test-drive	(test-drived test-drove)	(test-drived test-drove)	
testify			
tether			
thank			
thatch			
thaw			
theorize			
thicken			
thieve			
thin			
think	thought	thought	
thirst			
thrash			
thread			
threaten			
thrill			
thrive			
throb			
throng			
throttle			
throw	threw	thrown	
thrum			
thrust	thrust	thrust	
thud			
thumb			
thump			
thwack			
thwart			
tick			
ticket			
tickle			
tide			
tidy			
tie			tying
tighten			
tile			
till			
tilt			
time			
ting			
tinge			
tingle			
tinker			
tinkle			
tinsel	(tinselled tinseled)	(tinselled tinseled)	(tinselling tinseling)
tint			
tip			
tipple			
tiptoe			tiptoeing
tire			
titillate			
titter			
tittle-tattle			
toady			
toast			
toboggan			
toddle			
toe			toeing
toil			
tolerate			
toll			
tone			
tool			
toot			
tootle			
top			
top-dress			
topple			
torment			
torpedo			
torture			
toss			
tot			
total	(totalled totaled)	(totalled totaled)	(totalling totaling)
tote			
totter			
touch			
touch-type			
toughen			
tour			
tousle			
tout			
tow			
towel	(towelled toweled)	(towelled toweled)	(towelling toweling)
tower			
toy			
trace			
track			
trade			
traduce			
traffic	trafficked	trafficked	trafficking
trail			
train			
traipse			
trammel	(trammelled trammeled)	(trammelled trammeled)	(trammelling trammeling)
tramp			
trample			
tranquilize			
tranquillize			
transact			
transcend			
transcribe			
transfer			
transfigure			
transfix			
transform			
transfuse			
transgress			
translate			
transliterate			
transmit			
transmogrify			
transmute			
transpire			
transplant			
transport			
transpose			
trap			
travel	(travelled traveled)	(travelled traveled)	(travelling traveling)
traverse			
tread	trod	(trodden trod)	
treasure			
treat			
treble			
trek	trekked	trekked	trekking
trellis			
tremble			
trench			
trend			
trepan			
trephine			
trespass			
trice			
trick			
trickle			
trifle			
trigger			
trill			
trim			
trip			
triple			
trisect			
triumph			
trivialize			
troll			
troop			
trot			
trouble			
trounce			
trudge			
true			
trump			
trumpet			
truncate			
trundle			
truss			
trust			
try			
tuck			
tug			
tumble			
tune			
tunnel	(tunnelled tunneled)	(tunnelled tunneled)	(tunnelling tunneling)
turf			
turn			
tussle			
tutor			
twang			
tweak			
tweet			
twiddle			
twig			
twin			
twine			
twinkle			
twirl			
twist			
twit			
twitch			
twitter			
type			
typecast	typecast	typecast	
typify			
tyrannize			
uglify			
ulcerate			
ululate			
umpire			
unbalance			
unbar			
unbend			
unbind	unbound	unbound	
unblock			
unbolt			
unbosom			
unbuckle			
unburden			
unbutton			
unchain			
uncork			
uncouple			
uncover			
uncross			
uncurl			
undeceive			
underact			
underbid	underbid	underbid	
undercharge			
undercut	undercut	undercut	
underestimate			
underexpose			
undergo	underwent	undergone	
underlie	underlay	underlain	underlying
underline			
undermine			
underpay	underpaid	underpaid	
underpin			
underquote			
underrate			
underscore			
undersell	undersold	undersold	
undershoot	undershot	undershot	
undersign			
underspend	underspent	underspent	
understand	understood	understood	
understate			
understock			
understudy			
undertake	undertook	undertaken	
undervalue			
underwrite	underwrote	underwritten	
undo	undid	undone	
undock			
undress			
undulate			
unearth			
unfasten			
unfit			
unfold			
unfrock			
unfurl			
unhand			
unhinge			
unhitch			
unhook			
unhorse			
unify			
unionize			
unite			
unlace			
unlearn			
unleash			
unload			
unlock			
unloose			
unman			
unmask			
unnerve			
unpack			
unpick			
unplug			
unravel	(unravelled unraveled)	(unravelled unraveled)	(unravelling unraveling)
unroll			
unsaddle			
unscramble			
unscrew			
unseat			
unsettle			
unsex			
unsheathe			
untie			(untying untieing)
unveil			
unwind	unwound	unwound	
unwrap			
unzip			
up	upped	upped	upping
upbraid			
update			
upgrade			
uphold	upheld	upheld	
upholster			
uplift			
uproot			
upset	upset	upset	
upstage			
urbanize			
urge			
urinate			
use			
usher			
usurp			
utilize			
utter			
vacate			
vacation			
vaccinate			
vacillate			
valet			
validate			
value			
vamoose			
vamp			
vanish			
vanquish			
vaporize			
varnish			
vary			
vault			
vaunt			
veer			
vegetate			
veil			
vend			
venerate			
vent			
ventilate			
venture			
verbalize			
verge			
verify			
vest			
vet			
veto			
vex			
vibrate			
victimize			
videotape			
vie			vying
view			
vilify			
vindicate			
violate			
visit			
visualize			
vitalize			
vitiate			
vitrify			
vituperate			
vivisect			
vocalize			
vociferate			
voice			
void			
volley			
volunteer			
vomit			
vote			
vouch			
vouchsafe			
vow			
voyage			
vulcanize			
vulgarize			
wad			
waddle			
wade			
waffle			
waft			
wag			
wage			
wager			
waggle			
wail			
wait			
waive			
wake	(woke waked)	(woken waked woke)	
waken			
walk			
wall			
wallop			
wallow			
waltz			
wander			
wane			
wangle			
want			
war			
warble			
ward			
warm			
warn			
warp			
warrant			
wash			
waste			
watch			
water			
waterproof			
wave			
waver			
wax			
waylay	waylaid	waylaid	
weaken			
wean			
wear	wore	worn	
weary			
weather			
weave	wove	woven	
wed			
wedge			
weed			
weekend			
weep	wept	wept	
weigh			
weight			
welcome			
weld			
well			
welsh			
wend			
westernize			
wet			
whack			
whale			
wheedle			
wheel			
wheeze			
whelp			
whet			
while			
whimper			
whine			
whinny			
whip			
whir			
whirl			
whirr			
whisk			
whisper			
whistle			
whiten			
whitewash			
whittle			
whiz			
whoop			
widen			
wield			
wiggle			
will			
wilt			
wimp			
win	won	won	
wince			
wind	(winded wound)	(winded wound)	
wine			
wing			
wink			
winnow			
winter			
wipe			
wire			
wiretap			
wisecrack			
wish			
withdraw	withdrew	withdrawn	
wither			
withhold	withheld	withheld	
withstand	withstood	withstood	
witness			
wobble			
wolf			
womanize			
wonder			
woo			
word			
work	(worked wrought)	(worked wrought)	
worm			
worry			
worsen			
worship			
wound			
wrangle			
wrap			
wreak			
wreathe			
wreck			
wrench			
wrest			
wrestle			
wriggle			
wring	wrung	wrung	
wrinkle			
write	wrote	written	
writhe			
wrong			
yacht			
yammer			
yank			
yap	yapped	yapped	yapping
yawn			
yearn			
yell			
yellow			
yelp			
yield			
yodel	(yodelled yodeled)	(yodelled yodeled)	(yodelling yodeling)
yoke			
zap			
zero			
zigzag			
zip			
zone			
zoom			
